LocAz	 LocEle	 R	 G	 B
-90	 0	 1	 2	 3
-82.5	 0	 4	 5	 6
-75	 0	 7	 8	 9
-67.5	 0	 10	 11	 12
-60	 0	 13	 14	 15
-52.5	 0	 16	 17	 18
-45	 0	 19	 20	 21
-37.5	 0	 22	 23	 24
-30	 0	 25	 26	 27
-22.5	 0	 28	 29	 30
-15	 0	 31	 32	 33
-7.5	 0	 34	 35	 36
7.5	 0	 37	 38	 39
15	 0	 40	 41	 42
22.5	 0	 43	 44	 45
30	 0	 46	 47	 48
37.5	 0	 49	 50	 51
45	 0	 52	 53	 54
52.5	 0	 55	 56	 57
60	 0	 58	 59	 60
67.5	 0	 61	 62	 63
75	 0	 64	 65	 66
82.5	 0	 67	 68	 69
90	 0	 70	 71	 72
0	 45	 100	 101	 103
0	 37.5	 76	 77	 78
0	 30	 79	 80	 81
0	 22.5	 82	 83	 84
0	 15	 85	 86	 87
0	 7.5	 88	 89	 90
0	 0	 91	 92	 93
0	 -7.5	 94	 95	 96
0	 -15	 97	 98	 99
